condition,recall@1_mean,recall@1_se,recall@1_ci,ndcg@1_mean,ndcg@1_se,ndcg@1_ci,mrr@1_mean,mrr@1_se,mrr@1_ci,recall@5_mean,recall@5_se,recall@5_ci,ndcg@5_mean,ndcg@5_se,ndcg@5_ci,mrr@5_mean,mrr@5_se,mrr@5_ci,recall@10_mean,recall@10_se,recall@10_ci,ndcg@10_mean,ndcg@10_se,ndcg@10_ci,mrr@10_mean,mrr@10_se,mrr@10_ci,recall@20_mean,recall@20_se,recall@20_ci,ndcg@20_mean,ndcg@20_se,ndcg@20_ci,mrr@20_mean,mrr@20_se,mrr@20_ci
recommendation,0.05037313432835821,0.0033404058977915124,0.006547195559671364,0.05037313432835821,0.0033404058977915124,0.006547195559671364,0.05037313432835821,0.0033404058977915124,0.006547195559671364,0.1396921641791045,0.0052946373670560935,0.010377489239429943,0.09570134445575959,0.0038940697136738843,0.007632376638800813,0.08126166044776119,0.003603317718048846,0.007062502727375738,0.20079291044776118,0.006118248459196672,0.011991766980025477,0.11533960691988629,0.003959440619702646,0.0077605036146171855,0.08929441334991708,0.0035942196379263294,0.007044670490335606,0.267490671641791,0.006760583150942021,0.01325074297584636,0.13237276853735558,0.003963783562187649,0.007769015781887792,0.09405676169884769,0.003577236588358109,0.007011383713181893
discussion,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
all,0.045207199665131856,0.003005943061893865,0.005891648401311975,0.045207199665131856,0.003005943061893865,0.005891648401311975,0.045207199665131856,0.003005943061893865,0.005891648401311975,0.125366262034324,0.004790996247604504,0.009390352645304828,0.08588684910554566,0.003519833964379101,0.006898874570183037,0.07292800334868146,0.0032533587501685857,0.006376583150330428,0.18020092088740058,0.005561021772707586,0.010899602674506868,0.10351114158067654,0.003589228533052574,0.007034887924783045,0.080136970373471,0.003249307450890243,0.006368642603744876,0.24005860192549183,0.006179752293283012,0.012112314494834703,0.11879749507915041,0.0036043816080187888,0.007064587951716826,0.08441092385195874,0.0032367778617989787,0.006344084609125998
