condition,recall@1_mean,recall@1_se,recall@1_ci,ndcg@1_mean,ndcg@1_se,ndcg@1_ci,mrr@1_mean,mrr@1_se,mrr@1_ci,recall@5_mean,recall@5_se,recall@5_ci,ndcg@5_mean,ndcg@5_se,ndcg@5_ci,mrr@5_mean,mrr@5_se,mrr@5_ci,recall@10_mean,recall@10_se,recall@10_ci,ndcg@10_mean,ndcg@10_se,ndcg@10_ci,mrr@10_mean,mrr@10_se,mrr@10_ci,recall@20_mean,recall@20_se,recall@20_ci,ndcg@20_mean,ndcg@20_se,ndcg@20_ci,mrr@20_mean,mrr@20_se,mrr@20_ci
recommendation,0.02843601895734597,0.011469921696748393,0.02248104652562685,0.02843601895734597,0.011469921696748393,0.02248104652562685,0.02843601895734597,0.011469921696748393,0.02248104652562685,0.04265402843601896,0.013944560689728307,0.02733133895186748,0.03468023395880538,0.011953573549327625,0.023429004156682146,0.032148499210110586,0.011632235155573857,0.02279918090492476,0.09004739336492891,0.01975310226546831,0.038716080440317886,0.04992478603883262,0.012657104277062256,0.02480792438304202,0.03838674490333258,0.011714492632162215,0.02296040555903794,0.0995260663507109,0.020658288831946352,0.04049024611061485,0.05232905180734171,0.012725535822266078,0.024942050211641514,0.039047517779745265,0.011713555616093543,0.022958569007543343
discussion,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
all,0.023715415019762844,0.00958524703671085,0.018787084191953265,0.023715415019762844,0.00958524703671085,0.018787084191953265,0.023715415019762844,0.00958524703671085,0.018787084191953265,0.03557312252964427,0.011667971947923116,0.022869225017929307,0.02892304096959658,0.009998346835017814,0.019596759796634913,0.02681159420289855,0.009726593011936121,0.019064122303394798,0.07509881422924901,0.016602134870682274,0.03254018434653726,0.041636876894046174,0.010616445303776801,0.020808232795402528,0.032014241796850494,0.009807295882361334,0.019222299929428213,0.08300395256916997,0.017379322738172453,0.03406347256681801,0.043642015538929255,0.010679473948196568,0.020931768938465274,0.03256532115227767,0.009807951195926869,0.019223584344016664
