condition,recall@1_mean,recall@1_se,recall@1_ci,ndcg@1_mean,ndcg@1_se,ndcg@1_ci,mrr@1_mean,mrr@1_se,mrr@1_ci,recall@5_mean,recall@5_se,recall@5_ci,ndcg@5_mean,ndcg@5_se,ndcg@5_ci,mrr@5_mean,mrr@5_se,mrr@5_ci,recall@10_mean,recall@10_se,recall@10_ci,ndcg@10_mean,ndcg@10_se,ndcg@10_ci,mrr@10_mean,mrr@10_se,mrr@10_ci,recall@20_mean,recall@20_se,recall@20_ci,ndcg@20_mean,ndcg@20_se,ndcg@20_ci,mrr@20_mean,mrr@20_se,mrr@20_ci
recommendation,0.04739336492890995,0.014662429131826483,0.028738361098379905,0.04739336492890995,0.014662429131826483,0.028738361098379905,0.04739336492890995,0.014662429131826483,0.028738361098379905,0.0947867298578199,0.02021340970514383,0.03961828302208191,0.0719659665162775,0.016220296904859148,0.03179178193352393,0.06437598736176935,0.015399226467402093,0.030182483876108102,0.14218009478672985,0.02409948778680797,0.04723499606214362,0.08733019131802534,0.016593781430848806,0.03252381160446366,0.07075340404724291,0.01540483491395024,0.03019347643134247,0.1990521327014218,0.027553444272509258,0.05400475077411814,0.10206964532355949,0.01674295073873239,0.03281618344791549,0.07499200793663253,0.0153597210084815,0.03010505317662374
discussion,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
all,0.039525691699604744,0.01227389334798654,0.02405683096205362,0.039525691699604744,0.01227389334798654,0.02405683096205362,0.039525691699604744,0.01227389334798654,0.02405683096205362,0.07905138339920949,0.016996995787524154,0.03331411174354734,0.06001904717365436,0.013627061547957838,0.02670904063399736,0.053689064558629776,0.012926134326223618,0.02533522327939829,0.11857707509881422,0.020365368242437867,0.03991612175517822,0.07283268920198953,0.013984240185589468,0.027409110763755355,0.059007779659953574,0.012949072528026994,0.025380182154932908,0.16600790513833993,0.023439323945529902,0.04594107493323861,0.08512527732518202,0.01416152487345211,0.027756588751966134,0.0625427417969544,0.012924909610920734,0.02533282283740464
