condition,recall@1_mean,recall@1_se,recall@1_ci,ndcg@1_mean,ndcg@1_se,ndcg@1_ci,mrr@1_mean,mrr@1_se,mrr@1_ci,recall@5_mean,recall@5_se,recall@5_ci,ndcg@5_mean,ndcg@5_se,ndcg@5_ci,mrr@5_mean,mrr@5_se,mrr@5_ci,recall@10_mean,recall@10_se,recall@10_ci,ndcg@10_mean,ndcg@10_se,ndcg@10_ci,mrr@10_mean,mrr@10_se,mrr@10_ci,recall@20_mean,recall@20_se,recall@20_ci,ndcg@20_mean,ndcg@20_se,ndcg@20_ci,mrr@20_mean,mrr@20_se,mrr@20_ci
recommendation,0.04739336492890995,0.014662429131826483,0.028738361098379905,0.04739336492890995,0.014662429131826483,0.028738361098379905,0.04739336492890995,0.014662429131826483,0.028738361098379905,0.0995260663507109,0.02065828883194632,0.04049024611061479,0.07260605528696883,0.01615110243932785,0.03165616078108258,0.06390205371248026,0.015314353265423561,0.03001613240023018,0.15639810426540285,0.025065413207729953,0.049128209887150706,0.09115356001238373,0.016595609293189175,0.032527394214650784,0.07166177687504702,0.015322407583192551,0.0300319188630574,0.20853080568720378,0.02803447781764188,0.05494757652257808,0.10467228230039705,0.016720063295535253,0.032771324059249096,0.07554938479109095,0.015279756316518626,0.029948322380376508
discussion,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
all,0.039525691699604744,0.01227389334798654,0.02405683096205362,0.039525691699604744,0.01227389334798654,0.02405683096205362,0.039525691699604744,0.01227389334798654,0.02405683096205362,0.08300395256916997,0.01737932273817249,0.03406347256681808,0.06055287614842064,0.013571695424154937,0.026600523031343675,0.053293807641633724,0.012854565984468066,0.02519494932955741,0.13043478260869565,0.021215218977142028,0.04158182919519837,0.07602134846882595,0.013999144712998578,0.027438323637477214,0.05976535541752933,0.012883683425514277,0.025252019514007983,0.17391304347826086,0.02387694118979461,0.046798804731997434,0.0872958559896592,0.014153166507940934,0.02774020635556423,0.06300758968743159,0.012860660981828906,0.025206895524384654
