condition,recall@1_mean,recall@1_se,recall@1_ci,ndcg@1_mean,ndcg@1_se,ndcg@1_ci,mrr@1_mean,mrr@1_se,mrr@1_ci,recall@5_mean,recall@5_se,recall@5_ci,ndcg@5_mean,ndcg@5_se,ndcg@5_ci,mrr@5_mean,mrr@5_se,mrr@5_ci,recall@10_mean,recall@10_se,recall@10_ci,ndcg@10_mean,ndcg@10_se,ndcg@10_ci,mrr@10_mean,mrr@10_se,mrr@10_ci,recall@20_mean,recall@20_se,recall@20_ci,ndcg@20_mean,ndcg@20_se,ndcg@20_ci,mrr@20_mean,mrr@20_se,mrr@20_ci
recommendation,0.03148320895522388,0.0026669589518980804,0.005227239545720238,0.03148320895522388,0.0026669589518980804,0.005227239545720238,0.03148320895522388,0.0026669589518980804,0.005227239545720238,0.10844216417910447,0.004748944641264849,0.009307931496879104,0.07024909008162603,0.003302197478741817,0.006472307058333961,0.057738650497512436,0.0029825832504446503,0.005845863170871515,0.1513526119402985,0.005473710922803766,0.010728473408695382,0.0839734452843656,0.003382363980162859,0.0066294334011192035,0.06331428793532339,0.0029854607887696647,0.0058515031459885425,0.19519589552238806,0.006053460183601489,0.011864781959858918,0.09503502440834251,0.0034105952480639316,0.006684766686205306,0.06633725186564343,0.00297857005281891,0.005837997303525064
discussion,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
all,0.028254499790707408,0.0023974108143115223,0.004698925196050583,0.028254499790707408,0.0023974108143115223,0.004698925196050583,0.028254499790707408,0.0023974108143115223,0.004698925196050583,0.09732105483465886,0.0042883718789909105,0.008405208882822184,0.06304480918166856,0.002979508991557337,0.0058398376234523805,0.0518173573322171,0.0026886485495572344,0.005269751157132179,0.13583089158643785,0.004957024024942197,0.009715767088886705,0.07536168551263282,0.003057751590300768,0.005993193116989505,0.056821194363052885,0.0026936343691605007,0.005279523363554581,0.17517789870238593,0.005499740274161379,0.010779490937356303,0.08528886242423037,0.003089085255170739,0.006054607100134648,0.059534143156106945,0.002688887961817016,0.005270220405161351
