condition,recall@1_mean,recall@1_se,recall@1_ci,ndcg@1_mean,ndcg@1_se,ndcg@1_ci,mrr@1_mean,mrr@1_se,mrr@1_ci,recall@5_mean,recall@5_se,recall@5_ci,ndcg@5_mean,ndcg@5_se,ndcg@5_ci,mrr@5_mean,mrr@5_se,mrr@5_ci,recall@10_mean,recall@10_se,recall@10_ci,ndcg@10_mean,ndcg@10_se,ndcg@10_ci,mrr@10_mean,mrr@10_se,mrr@10_ci,recall@20_mean,recall@20_se,recall@20_ci,ndcg@20_mean,ndcg@20_se,ndcg@20_ci,mrr@20_mean,mrr@20_se,mrr@20_ci
recommendation,0.04081156716417911,0.0030218079584824606,0.0059227435986256224,0.04081156716417911,0.0030218079584824606,0.0059227435986256224,0.04081156716417911,0.0030218079584824606,0.0059227435986256224,0.12430037313432836,0.005038915282101839,0.009876273952919604,0.08408529926437561,0.003644963353893441,0.007144128173631144,0.07081778606965174,0.003338691319601529,0.006543834986418996,0.1791044776119403,0.005856260991007564,0.011478271542374824,0.10155827829764928,0.003719706340494119,0.007290624427368474,0.07788605336413171,0.003334944835117399,0.006536491876830102,0.22621268656716417,0.0063898776049841795,0.012524160105768992,0.11343830971128434,0.0037339430426822436,0.007318528363657198,0.08113137554671601,0.0033249942075408837,0.006516988646780132
discussion,0.024489795918367346,0.006989627988357609,0.013699670857180914,0.024489795918367346,0.006989627988357609,0.013699670857180914,0.024489795918367346,0.006989627988357609,0.013699670857180914,0.05714285714285714,0.01049662045334259,0.020573376088551476,0.04048502087011514,0.007955664179885176,0.015593101792574945,0.03506802721088435,0.007443107770032169,0.014588491229263052,0.07142857142857142,0.0116463331961891,0.022826813064530636,0.04519121554948467,0.008102220052069762,0.015880351302056735,0.037056203433754445,0.0074619008011123115,0.01462532557018013,0.07959183673469387,0.012239680036775535,0.023989772872080047,0.04713906473364802,0.008138212181015436,0.015950895874790254,0.03753077421444768,0.0074609025074075025,0.014623368914518705
all,0.03913771452490582,0.002805761060397942,0.005499291678379966,0.03913771452490582,0.002805761060397942,0.005499291678379966,0.03913771452490582,0.002805761060397942,0.005499291678379966,0.11741314357471745,0.00465757079706441,0.009128838762246244,0.0796139437990789,0.0033765809149811387,0.006618098593363032,0.06715152783591462,0.003095769646649594,0.006067708507433205,0.1680619506069485,0.005410066121751962,0.010603729598633845,0.09577764607776634,0.0034487573014130007,0.006759564310769481,0.07369881467307168,0.0030942024223957923,0.006064636747895753,0.2111762243616576,0.005905203735240826,0.011574199321072018,0.10663909873618141,0.0034654005402917293,0.006792185058971789,0.07665998696303843,0.003086270505491193,0.006049090190762738
