condition,recall@1_mean,recall@1_se,recall@1_ci,ndcg@1_mean,ndcg@1_se,ndcg@1_ci,mrr@1_mean,mrr@1_se,mrr@1_ci,recall@5_mean,recall@5_se,recall@5_ci,ndcg@5_mean,ndcg@5_se,ndcg@5_ci,mrr@5_mean,mrr@5_se,mrr@5_ci,recall@10_mean,recall@10_se,recall@10_ci,ndcg@10_mean,ndcg@10_se,ndcg@10_ci,mrr@10_mean,mrr@10_se,mrr@10_ci,recall@20_mean,recall@20_se,recall@20_ci,ndcg@20_mean,ndcg@20_se,ndcg@20_ci,mrr@20_mean,mrr@20_se,mrr@20_ci
recommendation,0.01958955223880597,0.002116603345659568,0.004148542557492753,0.01958955223880597,0.002116603345659568,0.004148542557492753,0.01958955223880597,0.002116603345659568,0.004148542557492753,0.07509328358208955,0.004025063834486783,0.007889125115594095,0.046819179639650536,0.0026990945431700805,0.005290225304613358,0.037632151741293536,0.002403366025710066,0.00471059741039173,0.11567164179104478,0.004884762851158985,0.009574135188271611,0.05994870470213366,0.0028203515663348115,0.005527889070016231,0.04305416740701256,0.0024183503616293247,0.004739966708793476,0.1443563432835821,0.005367692915075421,0.010520678113547826,0.06721589482660717,0.002858282046723419,0.005602232811577902,0.04505405405305876,0.0024167737838186576,0.004736876616284569
discussion,0.1326530612244898,0.0153391266666731,0.030064688266679275,0.1326530612244898,0.0153391266666731,0.030064688266679275,0.1326530612244898,0.0153391266666731,0.030064688266679275,0.5224489795918368,0.022587980376640032,0.04427244153821446,0.3286558025746515,0.016073182892412077,0.03150343846912767,0.2651020408163265,0.015147340330309764,0.02968878704740714,0.5959183673469388,0.022190828205656456,0.04349402328308665,0.3535762968421547,0.015521669406039999,0.030422472035838397,0.2760673793326855,0.01485638308687106,0.029118510850267277,0.6081632653061224,0.022075382472922237,0.04326774964692758,0.3566431531921904,0.015428628099402143,0.0302401110748282,0.2768914653773597,0.014828893968955264,0.029064632179152318
all,0.03118459606529929,0.0025148550504874895,0.004929115898955479,0.03118459606529929,0.0025148550504874895,0.004929115898955479,0.03118459606529929,0.0025148550504874895,0.004929115898955479,0.12097111762243616,0.004718074544459746,0.009247426107141101,0.07572247500133962,0.0031795991498615233,0.006232014333728586,0.060959955350913905,0.0028385979886369444,0.005563652057728411,0.16492256174131437,0.0053694003964632605,0.01052402477706799,0.09006120368677374,0.0032552540185066515,0.006380297876273037,0.06695045745380614,0.002841366443911557,0.005569078230066651,0.1919213059857681,0.0056978472534028645,0.011167780616669613,0.09689763542918894,0.0032699755316479852,0.006409152042030051,0.06882976178619135,0.0028369220534489163,0.005560367224759876
