condition,recall@1_mean,recall@1_se,recall@1_ci,ndcg@1_mean,ndcg@1_se,ndcg@1_ci,mrr@1_mean,mrr@1_se,mrr@1_ci,recall@5_mean,recall@5_se,recall@5_ci,ndcg@5_mean,ndcg@5_se,ndcg@5_ci,mrr@5_mean,mrr@5_se,mrr@5_ci,recall@10_mean,recall@10_se,recall@10_ci,ndcg@10_mean,ndcg@10_se,ndcg@10_ci,mrr@10_mean,mrr@10_se,mrr@10_ci,recall@20_mean,recall@20_se,recall@20_ci,ndcg@20_mean,ndcg@20_se,ndcg@20_ci,mrr@20_mean,mrr@20_se,mrr@20_ci
recommendation,0.03148320895522388,0.0026669589518980804,0.005227239545720238,0.03148320895522388,0.0026669589518980804,0.005227239545720238,0.03148320895522388,0.0026669589518980804,0.005227239545720238,0.09724813432835822,0.00452530749310629,0.008869602686488329,0.06515362627485367,0.003242658345369424,0.00635561035692407,0.05459810323383084,0.0029594417207600794,0.005800505772689755,0.13829291044776118,0.005272335636337977,0.010333777847222433,0.0783892317674541,0.0033275329589623434,0.006521964599566193,0.06003723939824685,0.0029641499569832705,0.00580973391568721,0.18236940298507462,0.0058976339552489565,0.011559362552287955,0.08963691274132705,0.003362089763502716,0.006589695936465323,0.06317664177472926,0.0029579957360018664,0.0057976716425636576
discussion,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
all,0.028254499790707408,0.0023974108143115227,0.004698925196050584,0.028254499790707408,0.0023974108143115227,0.004698925196050584,0.028254499790707408,0.0023974108143115227,0.004698925196050584,0.08727501046462956,0.004083544614139081,0.0080037474437126,0.05847190235801016,0.002924096483877921,0.005731229108400725,0.04899888377284777,0.002666699542263552,0.005226731102836562,0.12411050648807032,0.0047703617250175094,0.009349908981034319,0.07035015190850631,0.0030060047531613103,0.005891769316196168,0.053880218195831414,0.00267315572889279,0.005239385228629868,0.1636668061950607,0.005352939688875836,0.010491761790196638,0.08044434529820228,0.003042804683463472,0.005963897179588405,0.05669766428004166,0.002669056152391028,0.005231350058686415
