condition,recall@1_mean,recall@1_se,recall@1_ci,ndcg@1_mean,ndcg@1_se,ndcg@1_ci,mrr@1_mean,mrr@1_se,mrr@1_ci,recall@5_mean,recall@5_se,recall@5_ci,ndcg@5_mean,ndcg@5_se,ndcg@5_ci,mrr@5_mean,mrr@5_se,mrr@5_ci,recall@10_mean,recall@10_se,recall@10_ci,ndcg@10_mean,ndcg@10_se,ndcg@10_ci,mrr@10_mean,mrr@10_se,mrr@10_ci,recall@20_mean,recall@20_se,recall@20_ci,ndcg@20_mean,ndcg@20_se,ndcg@20_ci,mrr@20_mean,mrr@20_se,mrr@20_ci
recommendation,0.04265402843601896,0.01394456068972829,0.02733133895186745,0.04265402843601896,0.01394456068972829,0.02733133895186745,0.04265402843601896,0.01394456068972829,0.02733133895186745,0.10900473933649289,0.021505559208047545,0.04215089604777319,0.0782383163683522,0.016345667238991127,0.032037507788422605,0.06793048973143759,0.015187665364656232,0.029767824114726213,0.14691943127962084,0.02443008605642345,0.04788296867058996,0.08989669365581315,0.01658173240815268,0.03250019551997925,0.07238584217257202,0.015172847593675133,0.02973878128360326,0.20853080568720378,0.02803447781764188,0.05494757652257808,0.10569241237858042,0.016721205514547217,0.03277356280851254,0.07683401380083844,0.01512055060884702,0.029636279193340158
discussion,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
all,0.03557312252964427,0.011667971947923109,0.022869225017929293,0.03557312252964427,0.011667971947923109,0.022869225017929293,0.03557312252964427,0.011667971947923109,0.022869225017929293,0.09090909090909091,0.018109524383854447,0.03549466779235472,0.06525013736649138,0.0137496159831395,0.02694924732695342,0.05665349143610013,0.012761113720560288,0.025011782892298162,0.1225296442687747,0.02065553949145614,0.04048485740325403,0.07497313186314852,0.013983242089165644,0.02740715449476466,0.06036922015182885,0.012762320577672978,0.025014148332239035,0.17391304347826086,0.02387694118979461,0.046798804731997434,0.08814663641059473,0.014158268620639717,0.027750206496453843,0.06407896012639096,0.012733438240089283,0.024957538950574995
