condition,recall@1_mean,recall@1_se,recall@1_ci,ndcg@1_mean,ndcg@1_se,ndcg@1_ci,mrr@1_mean,mrr@1_se,mrr@1_ci,recall@5_mean,recall@5_se,recall@5_ci,ndcg@5_mean,ndcg@5_se,ndcg@5_ci,mrr@5_mean,mrr@5_se,mrr@5_ci,recall@10_mean,recall@10_se,recall@10_ci,ndcg@10_mean,ndcg@10_se,ndcg@10_ci,mrr@10_mean,mrr@10_se,mrr@10_ci,recall@20_mean,recall@20_se,recall@20_ci,ndcg@20_mean,ndcg@20_se,ndcg@20_ci,mrr@20_mean,mrr@20_se,mrr@20_ci
recommendation,0.052132701421800945,0.015339783767065159,0.03006597618344771,0.052132701421800945,0.015339783767065159,0.03006597618344771,0.052132701421800945,0.015339783767065159,0.03006597618344771,0.10900473933649289,0.021505559208047545,0.04215089604777319,0.08049300587910611,0.016937476778095793,0.03319745448506775,0.0711690363349131,0.0160534917855534,0.03146484389968466,0.17061611374407584,0.025958415047638204,0.05087849349337088,0.0996943880126135,0.01729316648435016,0.03389460630932631,0.07867862784924395,0.01602706778921749,0.03141305286686628,0.18009478672985782,0.026516899779519303,0.05197312356785783,0.10201335049714645,0.017306871774803587,0.03392146867861503,0.07927104491085533,0.016018665212297088,0.03139658381610229
discussion,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
all,0.043478260869565216,0.012846453049679976,0.02517904797737275,0.043478260869565216,0.012846453049679976,0.02517904797737275,0.043478260869565216,0.012846453049679976,0.02517904797737275,0.09090909090909091,0.018109524383854447,0.03549466779235472,0.06713053059482763,0.014245632536472014,0.027921439771485146,0.059354413702239796,0.013486759667620913,0.026434048948536987,0.1422924901185771,0.022006973766126568,0.043133668581608074,0.0831443315045907,0.014604820316434645,0.028625447820211904,0.06561735366083192,0.013487838294831866,0.026436163057870457,0.15019762845849802,0.022505581394501404,0.04411093953322275,0.08507832788497194,0.014624887317479842,0.02866477914226049,0.06611142480707698,0.013482805788827344,0.026426299346101596
