condition,recall@1_mean,recall@1_se,recall@1_ci,ndcg@1_mean,ndcg@1_se,ndcg@1_ci,mrr@1_mean,mrr@1_se,mrr@1_ci,recall@5_mean,recall@5_se,recall@5_ci,ndcg@5_mean,ndcg@5_se,ndcg@5_ci,mrr@5_mean,mrr@5_se,mrr@5_ci,recall@10_mean,recall@10_se,recall@10_ci,ndcg@10_mean,ndcg@10_se,ndcg@10_ci,mrr@10_mean,mrr@10_se,mrr@10_ci,recall@20_mean,recall@20_se,recall@20_ci,ndcg@20_mean,ndcg@20_se,ndcg@20_ci,mrr@20_mean,mrr@20_se,mrr@20_ci
recommendation,0.04265402843601896,0.01394456068972831,0.027331338951867488,0.04265402843601896,0.01394456068972831,0.027331338951867488,0.04265402843601896,0.01394456068972831,0.027331338951867488,0.09004739336492891,0.019753102265468312,0.03871608044031789,0.0689170690762646,0.01585440640846889,0.03107463656059902,0.06176935229067929,0.014969602756452281,0.02934042140264647,0.13270142180094788,0.023410595327447388,0.04588476684179688,0.08284334560231416,0.01621928081051203,0.03178979038860358,0.06759384638531558,0.01498013639839803,0.029361067340860136,0.14691943127962084,0.024430086056423495,0.04788296867059005,0.08648603545940899,0.01626572443621903,0.031880819894989296,0.06861289053232181,0.014969720057694412,0.029340651313081046
discussion,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
all,0.03557312252964427,0.011667971947923116,0.022869225017929307,0.03557312252964427,0.011667971947923116,0.022869225017929307,0.03557312252964427,0.011667971947923116,0.022869225017929307,0.07509881422924901,0.016602134870682222,0.03254018434653715,0.057476290810639645,0.013315573346677009,0.026098523759486937,0.05151515151515151,0.012563303726502311,0.024624075303944528,0.11067193675889328,0.019762845849802375,0.038735177865612654,0.06909069534422246,0.013660126167516178,0.02677384728833171,0.05637273354664658,0.012588479559957908,0.0246734199375175,0.1225296442687747,0.020655539491456123,0.040484857403254,0.07212866988907232,0.013710816072788045,0.02687319950266457,0.05722260830956483,0.012582895507280879,0.024662475194270523
