condition,recall@1_mean,recall@1_se,recall@1_ci,ndcg@1_mean,ndcg@1_se,ndcg@1_ci,mrr@1_mean,mrr@1_se,mrr@1_ci,recall@5_mean,recall@5_se,recall@5_ci,ndcg@5_mean,ndcg@5_se,ndcg@5_ci,mrr@5_mean,mrr@5_se,mrr@5_ci,recall@10_mean,recall@10_se,recall@10_ci,ndcg@10_mean,ndcg@10_se,ndcg@10_ci,mrr@10_mean,mrr@10_se,mrr@10_ci,recall@20_mean,recall@20_se,recall@20_ci,ndcg@20_mean,ndcg@20_se,ndcg@20_ci,mrr@20_mean,mrr@20_se,mrr@20_ci
recommendation,0.05687203791469194,0.01598177670826873,0.031324282348206715,0.05687203791469194,0.01598177670826873,0.031324282348206715,0.05687203791469194,0.01598177670826873,0.031324282348206715,0.10900473933649289,0.02150555920804755,0.042150896047773195,0.0817901888860686,0.017270572265526495,0.033850321640431925,0.07306477093206952,0.016530684491589086,0.03240014160351461,0.16587677725118483,0.025668367787159436,0.050310000862832494,0.10058749209332421,0.01765628570308214,0.03460631997804099,0.08107462574287218,0.01652172842722275,0.03238258771735659,0.21800947867298578,0.028492383767773615,0.05584507218483629,0.1140364057748426,0.01773668567968435,0.034763903932181324,0.08490888147909849,0.01647196119722177,0.03228504394655467
discussion,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
all,0.04743083003952569,0.013389931422422296,0.0262442655879477,0.04743083003952569,0.013389931422422296,0.0262442655879477,0.04743083003952569,0.013389931422422296,0.0262442655879477,0.09090909090909091,0.018109524383854447,0.03549466779235472,0.06821237096822322,0.0145249040083876,0.028468811856439694,0.06093544137022398,0.013887019606304379,0.027218558428356583,0.1383399209486166,0.021749109379735416,0.04262825438428142,0.08388917324779212,0.01490701459560705,0.029217748607389817,0.06761559696342306,0.013904024320127505,0.02725188766744991,0.18181818181818182,0.024296476537493124,0.04762109401348652,0.0951054609426553,0.015026063322406046,0.029451084111915847,0.07081333593711377,0.013875531055928246,0.027196040869619364
