condition,recall@1_mean,recall@1_se,recall@1_ci,ndcg@1_mean,ndcg@1_se,ndcg@1_ci,mrr@1_mean,mrr@1_se,mrr@1_ci,recall@5_mean,recall@5_se,recall@5_ci,ndcg@5_mean,ndcg@5_se,ndcg@5_ci,mrr@5_mean,mrr@5_se,mrr@5_ci,recall@10_mean,recall@10_se,recall@10_ci,ndcg@10_mean,ndcg@10_se,ndcg@10_ci,mrr@10_mean,mrr@10_se,mrr@10_ci,recall@20_mean,recall@20_se,recall@20_ci,ndcg@20_mean,ndcg@20_se,ndcg@20_ci,mrr@20_mean,mrr@20_se,mrr@20_ci
recommendation,0.02843601895734597,0.011469921696748393,0.02248104652562685,0.02843601895734597,0.011469921696748393,0.02248104652562685,0.02843601895734597,0.011469921696748393,0.02248104652562685,0.07109004739336493,0.017732973397032902,0.03475662785818449,0.047584054964936055,0.012878712594897023,0.025242276685998166,0.04004739336492891,0.01196873311247914,0.02345871690045911,0.0947867298578199,0.020213409705143803,0.039618283022081854,0.055240473738433625,0.013189949773016739,0.025852301555112808,0.04320695102685624,0.01200365038487042,0.02352715475434602,0.0947867298578199,0.020213409705143803,0.039618283022081854,0.055240473738433625,0.013189949773016739,0.025852301555112808,0.04320695102685624,0.01200365038487042,0.02352715475434602
discussion,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
all,0.023715415019762844,0.00958524703671085,0.018787084191953265,0.023715415019762844,0.00958524703671085,0.018787084191953265,0.023715415019762844,0.00958524703671085,0.018787084191953265,0.05928853754940711,0.01487692989543635,0.029158782595055246,0.039684725682219396,0.010794278432633836,0.021156785727962316,0.033399209486166,0.010021942496684571,0.019643007293501758,0.07905138339920949,0.016996995787524127,0.03331411174354729,0.046070118414266774,0.011071938761392973,0.021700999972330225,0.03603425559947299,0.01005811087043752,0.019713897306057538,0.07905138339920949,0.016996995787524127,0.03331411174354729,0.046070118414266774,0.011071938761392973,0.021700999972330225,0.03603425559947299,0.01005811087043752,0.019713897306057538
