condition,recall@1_mean,recall@1_se,recall@1_ci,ndcg@1_mean,ndcg@1_se,ndcg@1_ci,mrr@1_mean,mrr@1_se,mrr@1_ci,recall@5_mean,recall@5_se,recall@5_ci,ndcg@5_mean,ndcg@5_se,ndcg@5_ci,mrr@5_mean,mrr@5_se,mrr@5_ci,recall@10_mean,recall@10_se,recall@10_ci,ndcg@10_mean,ndcg@10_se,ndcg@10_ci,mrr@10_mean,mrr@10_se,mrr@10_ci,recall@20_mean,recall@20_se,recall@20_ci,ndcg@20_mean,ndcg@20_se,ndcg@20_ci,mrr@20_mean,mrr@20_se,mrr@20_ci
recommendation,0.01935634328358209,0.002104217013877266,0.004124265347199441,0.01935634328358209,0.002104217013877266,0.004124265347199441,0.01935634328358209,0.002104217013877266,0.004124265347199441,0.056669776119402986,0.0035312696459395493,0.006921288506041516,0.038538077872877594,0.002559030395927974,0.005015699576018828,0.032567630597014924,0.002341220475009352,0.004588792131018329,0.07509328358208955,0.004025063834486766,0.00788912511559406,0.04451909888724553,0.0026245033247697656,0.005144026516548741,0.03504889984600805,0.002349988754390914,0.004605977958606191,0.09281716417910447,0.00443184760580063,0.008686421307369236,0.048914810498156665,0.0026547060019590477,0.0052032237638397335,0.036210168278953736,0.002349783931222117,0.004605576505195349
discussion,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
all,0.017371285056509,0.0018903102028970619,0.003705007997678241,0.017371285056509,0.0018903102028970619,0.003705007997678241,0.017371285056509,0.0018903102028970619,0.003705007997678241,0.05085809962327334,0.0031788352221333465,0.006230517035381359,0.03458586812869384,0.0023027871164197026,0.004513462748182617,0.029227710339053997,0.002105952631813245,0.00412766715835396,0.06739221431561322,0.003627243915523705,0.007109398074426462,0.03995351528432583,0.0023634157580787914,0.004632294885834431,0.03145451706565143,0.002114567982218359,0.004144553245147984,0.08329845123482629,0.003998110796712697,0.007836297161556885,0.043898431857701085,0.00239208352260447,0.004688483704304761,0.03249669350777597,0.0021147616381149764,0.004144932810705354
