condition,recall@1_mean,recall@1_se,recall@1_ci,ndcg@1_mean,ndcg@1_se,ndcg@1_ci,mrr@1_mean,mrr@1_se,mrr@1_ci,recall@5_mean,recall@5_se,recall@5_ci,ndcg@5_mean,ndcg@5_se,ndcg@5_ci,mrr@5_mean,mrr@5_se,mrr@5_ci,recall@10_mean,recall@10_se,recall@10_ci,ndcg@10_mean,ndcg@10_se,ndcg@10_ci,mrr@10_mean,mrr@10_se,mrr@10_ci,recall@20_mean,recall@20_se,recall@20_ci,ndcg@20_mean,ndcg@20_se,ndcg@20_ci,mrr@20_mean,mrr@20_se,mrr@20_ci
recommendation,0.004739336492890996,0.0047393364928909965,0.009289099526066352,0.004739336492890996,0.0047393364928909965,0.009289099526066352,0.004739336492890996,0.0047393364928909965,0.009289099526066352,0.023696682464454975,0.010496064955299932,0.020572287312387867,0.013560915242401831,0.00643029746828308,0.012603383037834835,0.010268562401263823,0.005468305242822486,0.010717878275932072,0.03317535545023697,0.012358677545407879,0.024223007988999443,0.01693728668418403,0.006825354300005288,0.013377694428010364,0.011848341232227487,0.005566846043738173,0.010911018245726819,0.03317535545023697,0.012358677545407879,0.024223007988999443,0.01693728668418403,0.006825354300005288,0.013377694428010364,0.011848341232227487,0.005566846043738173,0.010911018245726819
discussion,0.09523809523809523,0.04584379641345076,0.08985384097036349,0.09523809523809523,0.04584379641345076,0.08985384097036349,0.09523809523809523,0.04584379641345076,0.08985384097036349,0.23809523809523808,0.06651717102567413,0.1303736552103213,0.17601879192177078,0.051925453731217576,0.10177388931318644,0.15476190476190474,0.04866022036034559,0.09537403190627736,0.2619047619047619,0.06866508638104514,0.13458356930684848,0.1839552998582787,0.05187577280342579,0.10167651469471455,0.15816326530612243,0.04851503065775146,0.09508946008919286,0.2619047619047619,0.06866508638104514,0.13458356930684848,0.1839552998582787,0.05187577280342579,0.10167651469471455,0.15816326530612243,0.04851503065775146,0.09508946008919286
all,0.019762845849802372,0.008767788216715318,0.017184864904762023,0.019762845849802372,0.008767788216715318,0.017184864904762023,0.019762845849802372,0.008767788216715318,0.017184864904762023,0.05928853754940711,0.014876929895436358,0.02915878259505526,0.040530207023166634,0.010773156748472179,0.02111538722700547,0.03425559947299078,0.009808436913187139,0.01922453634984679,0.07114624505928854,0.016193823150423482,0.031739893374830026,0.04466359717158315,0.01097208138357474,0.021505279511806488,0.036137775268210055,0.009842314035867161,0.019290935510299635,0.07114624505928854,0.016193823150423482,0.031739893374830026,0.04466359717158315,0.01097208138357474,0.021505279511806488,0.036137775268210055,0.009842314035867161,0.019290935510299635
