condition,recall@1_mean,recall@1_se,recall@1_ci,ndcg@1_mean,ndcg@1_se,ndcg@1_ci,mrr@1_mean,mrr@1_se,mrr@1_ci,recall@5_mean,recall@5_se,recall@5_ci,ndcg@5_mean,ndcg@5_se,ndcg@5_ci,mrr@5_mean,mrr@5_se,mrr@5_ci,recall@10_mean,recall@10_se,recall@10_ci,ndcg@10_mean,ndcg@10_se,ndcg@10_ci,mrr@10_mean,mrr@10_se,mrr@10_ci,recall@20_mean,recall@20_se,recall@20_ci,ndcg@20_mean,ndcg@20_se,ndcg@20_ci,mrr@20_mean,mrr@20_se,mrr@20_ci
recommendation,0.05687203791469194,0.01598177670826873,0.031324282348206715,0.05687203791469194,0.01598177670826873,0.031324282348206715,0.05687203791469194,0.01598177670826873,0.031324282348206715,0.11848341232227488,0.02230151535815925,0.04371097010199213,0.08934271947923227,0.017813170409482056,0.03491381400258483,0.0796998420221169,0.016896031688907014,0.03311622211025775,0.16113744075829384,0.025370789910573968,0.049726748224724976,0.10255289793319473,0.018020827789865534,0.03532082246813645,0.08480027081922817,0.016864554142884642,0.0330545261200539,0.21800947867298578,0.028492383767773615,0.05584507218483629,0.1170912728208506,0.018091995103370145,0.035460310402605486,0.0888764247684618,0.016807256181269572,0.03294222211528836
discussion,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
all,0.04743083003952569,0.013389931422422296,0.0262442655879477,0.04743083003952569,0.013389931422422296,0.0262442655879477,0.04743083003952569,0.013389931422422296,0.0262442655879477,0.09881422924901186,0.018798216031844703,0.03684450342241562,0.07451112177912256,0.014997102563607196,0.029394321024670104,0.06646903820816864,0.014208930194354735,0.027849503180935282,0.13438735177865613,0.021485265480790848,0.04211112034235006,0.08552830618143908,0.015214380912177323,0.029820186587867552,0.0707227555053642,0.014199157978345941,0.027830349637558045,0.18181818181818182,0.024296476537493124,0.04762109401348652,0.09765319590987935,0.01533029498738574,0.03004737817527605,0.0741222356764642,0.01416559769580328,0.02776457148377443
