condition,recall@1_mean,recall@1_se,recall@1_ci,ndcg@1_mean,ndcg@1_se,ndcg@1_ci,mrr@1_mean,mrr@1_se,mrr@1_ci,recall@5_mean,recall@5_se,recall@5_ci,ndcg@5_mean,ndcg@5_se,ndcg@5_ci,mrr@5_mean,mrr@5_se,mrr@5_ci,recall@10_mean,recall@10_se,recall@10_ci,ndcg@10_mean,ndcg@10_se,ndcg@10_ci,mrr@10_mean,mrr@10_se,mrr@10_ci,recall@20_mean,recall@20_se,recall@20_ci,ndcg@20_mean,ndcg@20_se,ndcg@20_ci,mrr@20_mean,mrr@20_se,mrr@20_ci
recommendation,0.020988805970149255,0.0021893286149001676,0.0042910840852043285,0.020988805970149255,0.0021893286149001676,0.0042910840852043285,0.020988805970149255,0.0021893286149001676,0.0042910840852043285,0.06646455223880597,0.003804378394634183,0.007456581653482999,0.04383420095515399,0.0026876728809611438,0.0052678388466838415,0.036438899253731345,0.0024415891836428337,0.004785514799939954,0.09025186567164178,0.0043763489083675595,0.008577643860400417,0.05154451329049756,0.0027636550235491,0.005416763846156236,0.039629327321724715,0.0024509885079989735,0.004803937475677988,0.12103544776119403,0.004981558436557037,0.009763854535651791,0.059475952923991576,0.0028126701981267786,0.005512833588328486,0.041885651779180695,0.002450377174997706,0.004802739262995504
discussion,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
all,0.018836333193804938,0.0019669408055757766,0.003855203978928522,0.018836333193804938,0.0019669408055757766,0.003855203978928522,0.018836333193804938,0.0019669408055757766,0.003855203978928522,0.05964838844704898,0.0034266273209186573,0.006716189549000568,0.03933885594300969,0.0024196759143361732,0.0047425647920989,0.0327019673503558,0.0021969995342229955,0.004306119087077071,0.08099623273336123,0.0039474208891405954,0.007736944942715567,0.04625844976761271,0.0024905011610375115,0.004881382275633522,0.03556520626947583,0.002206472345952403,0.00432468579806671,0.10862285475094181,0.004502085441844051,0.00882408746601434,0.053376493540827935,0.0025376552952527504,0.004973804378695391,0.037590137050884646,0.0022067284714376626,0.004325187804017819
