condition,recall@1_mean,recall@1_se,recall@1_ci,ndcg@1_mean,ndcg@1_se,ndcg@1_ci,mrr@1_mean,mrr@1_se,mrr@1_ci,recall@5_mean,recall@5_se,recall@5_ci,ndcg@5_mean,ndcg@5_se,ndcg@5_ci,mrr@5_mean,mrr@5_se,mrr@5_ci,recall@10_mean,recall@10_se,recall@10_ci,ndcg@10_mean,ndcg@10_se,ndcg@10_ci,mrr@10_mean,mrr@10_se,mrr@10_ci,recall@20_mean,recall@20_se,recall@20_ci,ndcg@20_mean,ndcg@20_se,ndcg@20_ci,mrr@20_mean,mrr@20_se,mrr@20_ci
recommendation,0.03334888059701493,0.0027421977346880097,0.0053747075599884985,0.03334888059701493,0.0027421977346880097,0.0053747075599884985,0.03334888059701493,0.0027421977346880097,0.0053747075599884985,0.10984141791044776,0.004775732743583081,0.009360436177422838,0.07218219798150152,0.0033647528989844294,0.006594915682009482,0.05982198383084577,0.0030537556452198546,0.005985361064630915,0.15461753731343283,0.005521781930375841,0.01082269258353665,0.08665082953547927,0.003447000738428411,0.006756121447319685,0.06578528488509831,0.0030564161061441522,0.005990575568042538,0.1921641791044776,0.0060175683113685855,0.011794433890282428,0.09620883052355743,0.0034704054800356325,0.00680199474086984,0.0684401627497469,0.003050190315537378,0.00597837301845326
discussion,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
all,0.029928840519045624,0.0024652962887106813,0.004831980725872935,0.029928840519045624,0.0024652962887106813,0.004831980725872935,0.029928840519045624,0.0024652962887106813,0.004831980725872935,0.09857681038091251,0.00431294702060204,0.008453376160379998,0.06477967035259073,0.003036226292864851,0.005951003534015107,0.05368703781219478,0.002753100518079314,0.005396077015435455,0.13876098786102972,0.00500170320810501,0.00980333828788582,0.07776449498705214,0.0031167560810853104,0.006108841918927208,0.05903878224933059,0.002758094646482483,0.005405865507105667,0.17245709501883633,0.005465855829130507,0.010713077425095793,0.08634229076706032,0.0031429659384798023,0.006160213239420413,0.06142139344305459,0.0027537850349949994,0.005397418668590199
