condition,recall@1_mean,recall@1_se,recall@1_ci,ndcg@1_mean,ndcg@1_se,ndcg@1_ci,mrr@1_mean,mrr@1_se,mrr@1_ci,recall@5_mean,recall@5_se,recall@5_ci,ndcg@5_mean,ndcg@5_se,ndcg@5_ci,mrr@5_mean,mrr@5_se,mrr@5_ci,recall@10_mean,recall@10_se,recall@10_ci,ndcg@10_mean,ndcg@10_se,ndcg@10_ci,mrr@10_mean,mrr@10_se,mrr@10_ci,recall@20_mean,recall@20_se,recall@20_ci,ndcg@20_mean,ndcg@20_se,ndcg@20_ci,mrr@20_mean,mrr@20_se,mrr@20_ci
recommendation,0.05687203791469194,0.01598177670826873,0.031324282348206715,0.05687203791469194,0.01598177670826873,0.031324282348206715,0.05687203791469194,0.01598177670826873,0.031324282348206715,0.10900473933649289,0.021505559208047545,0.04215089604777319,0.08389858528786992,0.01749563454713408,0.034291443712382796,0.07559241706161138,0.016698323094231533,0.03272871326469381,0.15639810426540285,0.02506541320772995,0.0491282098871507,0.09885321746309693,0.01776724449168284,0.03482379920369836,0.08154855939216127,0.01667521678440934,0.032683424897442304,0.21800947867298578,0.028492383767773615,0.05584507218483629,0.11454439535321707,0.01785630347720661,0.034998354815324956,0.08591846542083506,0.016616543971120844,0.03256842618339686
discussion,0.14285714285714285,0.05464943254828614,0.10711288779464084,0.14285714285714285,0.05464943254828614,0.10711288779464084,0.14285714285714285,0.05464943254828614,0.10711288779464084,0.2619047619047619,0.06866508638104511,0.13458356930684842,0.20696514440991212,0.05744550022119163,0.1125931804335356,0.1884920634920635,0.05543877028770046,0.10865998976389289,0.2857142857142857,0.07055211404639924,0.1382821435309425,0.21544626791248406,0.05732617822637889,0.11235930932370262,0.19246031746031744,0.05525140041387203,0.10829274481118918,0.38095238095238093,0.07584124375059005,0.1486488377511565,0.240821872172699,0.056292438524490875,0.11033317950800212,0.20009157509157507,0.05472284934836994,0.10725678472280509
all,0.07114624505928854,0.016193823150423472,0.031739893374830006,0.07114624505928854,0.016193823150423472,0.031739893374830006,0.07114624505928854,0.016193823150423472,0.031739893374830006,0.13438735177865613,0.021485265480790848,0.04211112034235006,0.10432860696030379,0.017612112301661032,0.03451974011125562,0.09433465085638999,0.016846433997207293,0.033019010634526294,0.17786561264822134,0.02408890909960649,0.04721426183522871,0.11820858552188845,0.017765717635512494,0.03482080656560449,0.09996078800426626,0.016806599737485828,0.03294093548547222,0.2450592885375494,0.027095161053881774,0.05310651566560828,0.13550745474617457,0.017774858511630333,0.034838722682795455,0.10487210418040459,0.016731335556300315,0.03279341769034862
