condition,recall@1_mean,recall@1_se,recall@1_ci,ndcg@1_mean,ndcg@1_se,ndcg@1_ci,mrr@1_mean,mrr@1_se,mrr@1_ci,recall@5_mean,recall@5_se,recall@5_ci,ndcg@5_mean,ndcg@5_se,ndcg@5_ci,mrr@5_mean,mrr@5_se,mrr@5_ci,recall@10_mean,recall@10_se,recall@10_ci,ndcg@10_mean,ndcg@10_se,ndcg@10_ci,mrr@10_mean,mrr@10_se,mrr@10_ci,recall@20_mean,recall@20_se,recall@20_ci,ndcg@20_mean,ndcg@20_se,ndcg@20_ci,mrr@20_mean,mrr@20_se,mrr@20_ci
recommendation,0.01958955223880597,0.002116603345659551,0.00414854255749272,0.01958955223880597,0.002116603345659551,0.00414854255749272,0.01958955223880597,0.002116603345659551,0.00414854255749272,0.057369402985074626,0.0035516829439850824,0.006961298570210762,0.03909362412550004,0.002577385540873716,0.005051675660112483,0.03306902985074627,0.0023581179938654286,0.00462191126797624,0.07392723880597014,0.003996207736062611,0.007832567162682717,0.044511084740937644,0.002636810190298517,0.005168147972985093,0.0353408737562189,0.002366267103495465,0.004637883522851111,0.09095149253731344,0.004391589140243932,0.008607514714878107,0.04879676347054209,0.002666844419705969,0.005227015062623699,0.03650617017714808,0.0023661944284722007,0.004637741079805514
discussion,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
all,0.017580577647551276,0.001901460988546182,0.0037268635375505167,0.017580577647551276,0.001901460988546182,0.0037268635375505167,0.017580577647551276,0.001901460988546182,0.0037268635375505167,0.051485977396400165,0.0031973393903174,0.006266785205022104,0.035084441241135245,0.002319394627204871,0.0045460134693215476,0.029677689409794896,0.0021212318070497377,0.004157614341817486,0.06634575136040184,0.003600990508631681,0.007057941396918095,0.03994632301572638,0.0023744198453756775,0.004653862896936328,0.03171654806753174,0.00212923129342859,0.0041732933351200365,0.08162411050648807,0.003961337515428359,0.007764221530239584,0.043792490950540906,0.002402886962547053,0.0047096584465922235,0.03276233941389932,0.00212954501110652,0.004173908221768779
