condition,recall@1_mean,recall@1_se,recall@1_ci,ndcg@1_mean,ndcg@1_se,ndcg@1_ci,mrr@1_mean,mrr@1_se,mrr@1_ci,recall@5_mean,recall@5_se,recall@5_ci,ndcg@5_mean,ndcg@5_se,ndcg@5_ci,mrr@5_mean,mrr@5_se,mrr@5_ci,recall@10_mean,recall@10_se,recall@10_ci,ndcg@10_mean,ndcg@10_se,ndcg@10_ci,mrr@10_mean,mrr@10_se,mrr@10_ci,recall@20_mean,recall@20_se,recall@20_ci,ndcg@20_mean,ndcg@20_se,ndcg@20_ci,mrr@20_mean,mrr@20_se,mrr@20_ci
recommendation,0.033870203694931315,0.002784318841934176,0.005457264930190985,0.033870203694931315,0.002784318841934176,0.005457264930190985,0.033870203694931315,0.002784318841934176,0.005457264930190985,0.1049265750828991,0.004716984009764262,0.009245288659137953,0.06974766798844174,0.0033640191308478094,0.006593477496461706,0.058226748776251384,0.0030713885815886965,0.006019921619913845,0.1442444339175746,0.005407751445221197,0.010599192832633546,0.08242763248005337,0.003439902651092634,0.006742209196141563,0.06343623348597295,0.0030743155434868196,0.006025658465234166,0.16745618190431075,0.005747069730082497,0.011264256670961693,0.0884264344193693,0.003458121027706265,0.00677791721430428,0.06514974648929107,0.0030708265295562517,0.006018819997930253
discussion,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
all,0.030354489492676714,0.0024998129212515314,0.0048996333256530016,0.030354489492676714,0.0024998129212515314,0.0048996333256530016,0.030354489492676714,0.0024998129212515314,0.0048996333256530016,0.09403523668011038,0.004252952289002606,0.008335786486445108,0.06250788670074317,0.003030691235320541,0.00594015482122826,0.0521828345008137,0.002764682573506631,0.005418777844072997,0.12927191679049035,0.004888582137190701,0.009581620988893775,0.07387167572294319,0.003104492424443745,0.0060848051519097395,0.056851576688129436,0.0027695550247137197,0.0054283278484388905,0.150074294205052,0.005203950818750179,0.010199743604750351,0.07924780431300726,0.003123947686926208,0.006122937466375367,0.05838722769640988,0.002767230874654503,0.005423772514322826
