condition,recall@1_mean,recall@1_se,recall@1_ci,ndcg@1_mean,ndcg@1_se,ndcg@1_ci,mrr@1_mean,mrr@1_se,mrr@1_ci,recall@5_mean,recall@5_se,recall@5_ci,ndcg@5_mean,ndcg@5_se,ndcg@5_ci,mrr@5_mean,mrr@5_se,mrr@5_ci,recall@10_mean,recall@10_se,recall@10_ci,ndcg@10_mean,ndcg@10_se,ndcg@10_ci,mrr@10_mean,mrr@10_se,mrr@10_ci,recall@20_mean,recall@20_se,recall@20_ci,ndcg@20_mean,ndcg@20_se,ndcg@20_ci,mrr@20_mean,mrr@20_se,mrr@20_ci
recommendation,0.033633349123638086,0.0027749064646068033,0.005438816670629334,0.033633349123638086,0.0027749064646068033,0.005438816670629334,0.033633349123638086,0.0027749064646068033,0.005438816670629334,0.10255802936996684,0.004669607155166848,0.009152430024127023,0.06859538456962458,0.0033472071978111967,0.006560526107709946,0.05745697141954839,0.0030602250380158268,0.005998041074511021,0.1442444339175746,0.005407751445221197,0.010599192832633546,0.08203272682055149,0.0034286519074615764,0.006720157738624689,0.06297511899122511,0.0030636199583452986,0.006004695118356785,0.17124585504500237,0.005798494036427009,0.011365048311396939,0.08898157475726406,0.00344953416849599,0.00676108697025214,0.06494529479829282,0.00305959057801405,0.0059967975329075374
discussion,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
all,0.03014222033538527,0.002491329631124978,0.004883006077004957,0.03014222033538527,0.002491329631124978,0.004883006077004957,0.03014222033538527,0.002491329631124978,0.004883006077004957,0.09191254510719593,0.004209599512929866,0.008250815045342537,0.0614752098605296,0.0030151819096327546,0.005909756542880199,0.051492959739616505,0.0027544027506737692,0.005398629391320587,0.12927191679049035,0.0048885821371907,0.009581620988893771,0.07351776112001025,0.003094273028111941,0.006064775135099404,0.05643832570175173,0.0027598111484682486,0.005409229850997767,0.15347060072171514,0.00525198123440944,0.010293883219442503,0.07974532129593905,0.003116625595452111,0.0061085861670861375,0.058203998012819405,0.002757121539466034,0.005403958217353426
