condition,recall@1_mean,recall@1_se,recall@1_ci,ndcg@1_mean,ndcg@1_se,ndcg@1_ci,mrr@1_mean,mrr@1_se,mrr@1_ci,recall@5_mean,recall@5_se,recall@5_ci,ndcg@5_mean,ndcg@5_se,ndcg@5_ci,mrr@5_mean,mrr@5_se,mrr@5_ci,recall@10_mean,recall@10_se,recall@10_ci,ndcg@10_mean,ndcg@10_se,ndcg@10_ci,mrr@10_mean,mrr@10_se,mrr@10_ci,recall@20_mean,recall@20_se,recall@20_ci,ndcg@20_mean,ndcg@20_se,ndcg@20_ci,mrr@20_mean,mrr@20_se,mrr@20_ci
recommendation,0.023696682464454975,0.010496064955299918,0.02057228731238784,0.023696682464454975,0.010496064955299918,0.02057228731238784,0.023696682464454975,0.010496064955299918,0.02057228731238784,0.052132701421800945,0.015339783767065157,0.030065976183447706,0.0385829155644346,0.012018879887472479,0.023557004579446057,0.034123222748815164,0.01131134723664797,0.02217024058383002,0.05687203791469194,0.01598177670826873,0.031324282348206715,0.03995289104461416,0.012075880936466535,0.023668726635474407,0.03459715639810427,0.011314467243216967,0.022176355796705256,0.061611374407582936,0.016592513078005078,0.03252132563288995,0.041165962252243615,0.012117626171582907,0.023750547296302497,0.034935680433310766,0.011314602289008107,0.02217662048645589
discussion,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
all,0.019762845849802372,0.008767788216715314,0.017184864904762016,0.019762845849802372,0.008767788216715314,0.017184864904762016,0.019762845849802372,0.008767788216715314,0.017184864904762016,0.043478260869565216,0.012846453049679976,0.02517904797737275,0.03217784657745336,0.010060421216899082,0.019718425585122202,0.028458498023715417,0.00946370689196917,0.01854886550825957,0.04743083003952569,0.013389931422422296,0.0262442655879477,0.03332039529807742,0.01011067301672992,0.019816919112790644,0.028853754940711462,0.00946724368585125,0.01855579762426845,0.05138339920948617,0.01390773815314223,0.02725916678015877,0.03433208709574468,0.010147989441034502,0.019890059304427624,0.02913608130999435,0.009468038814697469,0.01855735607680704
