condition,recall@1_mean,recall@1_se,recall@1_ci,ndcg@1_mean,ndcg@1_se,ndcg@1_ci,mrr@1_mean,mrr@1_se,mrr@1_ci,recall@5_mean,recall@5_se,recall@5_ci,ndcg@5_mean,ndcg@5_se,ndcg@5_ci,mrr@5_mean,mrr@5_se,mrr@5_ci,recall@10_mean,recall@10_se,recall@10_ci,ndcg@10_mean,ndcg@10_se,ndcg@10_ci,mrr@10_mean,mrr@10_se,mrr@10_ci,recall@20_mean,recall@20_se,recall@20_ci,ndcg@20_mean,ndcg@20_se,ndcg@20_ci,mrr@20_mean,mrr@20_se,mrr@20_ci
recommendation,0.01632462686567164,0.0019354002342063027,0.003793384459044353,0.01632462686567164,0.0019354002342063027,0.003793384459044353,0.01632462686567164,0.0019354002342063027,0.003793384459044353,0.06110074626865672,0.003658103698249881,0.0071698832485697665,0.038792821984791455,0.0024875287286442375,0.0048755563081427054,0.031510416666666666,0.002220858187361946,0.004352882047229414,0.09281716417910447,0.004431847605800631,0.008686421307369237,0.04916341353039069,0.002601981896054598,0.005099884516267012,0.03585735755745084,0.0022376712064026347,0.004385835564549164,0.11893656716417911,0.0049440692642791495,0.009690375757987132,0.0558877861211486,0.002647815681440568,0.005189718735623513,0.037766315559155245,0.002237847849557104,0.004386181785131924
discussion,0.04081632653061224,0.00894774126016233,0.017537572869918167,0.04081632653061224,0.00894774126016233,0.017537572869918167,0.04081632653061224,0.00894774126016233,0.017537572869918167,0.11428571428571428,0.014387600446822966,0.028199696875773013,0.07695988586812193,0.010451034966997919,0.02048402853531592,0.06486394557823129,0.00965661538363941,0.018926966151933244,0.1510204081632653,0.016192429527119346,0.03173716187315392,0.08884074072788024,0.01063510437351096,0.02084480457208148,0.06977243278263687,0.009658758536730684,0.01893116673199214,0.19795918367346937,0.018019039309963018,0.03531731704752751,0.10106018574400963,0.010718616129879446,0.021008487614563715,0.07331257911089843,0.009634152958184854,0.018882939798042314
all,0.018836333193804938,0.0019669408055758304,0.0038552039789286276,0.018836333193804938,0.0019669408055758304,0.0038552039789286276,0.018836333193804938,0.0019669408055758304,0.0038552039789286276,0.06655504395144411,0.0036062615653497136,0.007068272668085438,0.04270698299417444,0.0024815906032381037,0.004863917582346683,0.03493093344495605,0.00222996111179767,0.004370723779123433,0.0987861029719548,0.004317021842274852,0.00846136281085871,0.05323245713164015,0.002582721753664019,0.005062134637181477,0.039335462802394576,0.0022437161394907442,0.004397683633401859,0.1270406027626622,0.004818264914591328,0.009443799232599004,0.06052036791587484,0.0026252518515865663,0.00514549362910967,0.04141170466345708,0.0022432338958779234,0.00439673843592073
