condition,recall@1_mean,recall@1_se,recall@1_ci,ndcg@1_mean,ndcg@1_se,ndcg@1_ci,mrr@1_mean,mrr@1_se,mrr@1_ci,recall@5_mean,recall@5_se,recall@5_ci,ndcg@5_mean,ndcg@5_se,ndcg@5_ci,mrr@5_mean,mrr@5_se,mrr@5_ci,recall@10_mean,recall@10_se,recall@10_ci,ndcg@10_mean,ndcg@10_se,ndcg@10_ci,mrr@10_mean,mrr@10_se,mrr@10_ci,recall@20_mean,recall@20_se,recall@20_ci,ndcg@20_mean,ndcg@20_se,ndcg@20_ci,mrr@20_mean,mrr@20_se,mrr@20_ci
recommendation,0.03317535545023697,0.012358677545407882,0.02422300798899945,0.03317535545023697,0.012358677545407882,0.02422300798899945,0.03317535545023697,0.012358677545407882,0.02422300798899945,0.08056872037914692,0.018781627506386067,0.03681198991251669,0.057295991957227926,0.0142560722203745,0.027941901551934017,0.04968404423380727,0.013316755136580283,0.026100840067697355,0.0947867298578199,0.020213409705143803,0.039618283022081854,0.062167457601786096,0.01443736065677482,0.028297226887278648,0.051856240126382305,0.013337618899923366,0.026141733043849796,0.10426540284360189,0.021088716077049242,0.041333883511016516,0.06464894332581148,0.014492952117104534,0.028406186149524885,0.05258329742926899,0.013334360187480753,0.026135345967462274
discussion,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
all,0.02766798418972332,0.010332270844109459,0.02025125085445454,0.02766798418972332,0.010332270844109459,0.02025125085445454,0.02766798418972332,0.010332270844109459,0.02025125085445454,0.06719367588932806,0.015771015937146086,0.03091119123680633,0.04778440435958534,0.011960392687408582,0.02344236966732082,0.04143610013175231,0.011162595130282624,0.021878686455353943,0.07905138339920949,0.016996995787524158,0.03331411174354735,0.05184716819753702,0.012123775501915382,0.02376259998375415,0.04324769433465086,0.011185311898105735,0.021923211320287243,0.08695652173913043,0.01774992567234189,0.0347898543177901,0.053916707674886245,0.012176886640344995,0.02386669781507619,0.04385405437776979,0.01118447647502117,0.021921573891041494
