condition,recall@1_mean,recall@1_se,recall@1_ci,ndcg@1_mean,ndcg@1_se,ndcg@1_ci,mrr@1_mean,mrr@1_se,mrr@1_ci,recall@5_mean,recall@5_se,recall@5_ci,ndcg@5_mean,ndcg@5_se,ndcg@5_ci,mrr@5_mean,mrr@5_se,mrr@5_ci,recall@10_mean,recall@10_se,recall@10_ci,ndcg@10_mean,ndcg@10_se,ndcg@10_ci,mrr@10_mean,mrr@10_se,mrr@10_ci,recall@20_mean,recall@20_se,recall@20_ci,ndcg@20_mean,ndcg@20_se,ndcg@20_ci,mrr@20_mean,mrr@20_se,mrr@20_ci
recommendation,0.004739336492890996,0.0047393364928909965,0.009289099526066352,0.004739336492890996,0.0047393364928909965,0.009289099526066352,0.004739336492890996,0.0047393364928909965,0.009289099526066352,0.03317535545023697,0.012358677545407879,0.024223007988999443,0.017020070994203877,0.0068404199594269705,0.013407223120476862,0.01192733017377567,0.005569983365401548,0.010917167396187035,0.04739336492890995,0.014662429131826494,0.028738361098379926,0.021255116157338966,0.00721366378980823,0.01413878102802413,0.013467614533965245,0.005625161801472503,0.011025317130886106,0.05687203791469194,0.015981776708268735,0.03132428234820672,0.023551149373861987,0.007361776726559503,0.014429082384056626,0.014042607564352754,0.005633237860655419,0.01104114620688462
discussion,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
all,0.003952569169960474,0.003952569169960486,0.007747035573122553,0.003952569169960474,0.003952569169960486,0.007747035573122553,0.003952569169960474,0.003952569169960486,0.007747035573122553,0.02766798418972332,0.010332270844109459,0.02025125085445454,0.014194604663150269,0.005716539948022744,0.011204418298124578,0.00994729907773386,0.00465189541032673,0.00911771500424039,0.039525691699604744,0.012273893347986559,0.024056830962053657,0.017726598850587045,0.006034363507287823,0.011827352474284132,0.011231884057971014,0.00470009996731837,0.009212195935944004,0.04743083003952569,0.013389931422422303,0.026244265587947714,0.01964147240270703,0.006162014541573563,0.012077548501484184,0.011711423699914748,0.00470774059175196,0.009227171559833842
