condition,recall@1_mean,recall@1_se,recall@1_ci,ndcg@1_mean,ndcg@1_se,ndcg@1_ci,mrr@1_mean,mrr@1_se,mrr@1_ci,recall@5_mean,recall@5_se,recall@5_ci,ndcg@5_mean,ndcg@5_se,ndcg@5_ci,mrr@5_mean,mrr@5_se,mrr@5_ci,recall@10_mean,recall@10_se,recall@10_ci,ndcg@10_mean,ndcg@10_se,ndcg@10_ci,mrr@10_mean,mrr@10_se,mrr@10_ci,recall@20_mean,recall@20_se,recall@20_ci,ndcg@20_mean,ndcg@20_se,ndcg@20_ci,mrr@20_mean,mrr@20_se,mrr@20_ci
recommendation,0.04734141791044776,0.003243489758436197,0.006357239926534947,0.04734141791044776,0.003243489758436197,0.006357239926534947,0.04734141791044776,0.003243489758436197,0.006357239926534947,0.13502798507462688,0.005219587472233062,0.010230391445576801,0.0921715870969856,0.003819026639520486,0.0074852922134601525,0.07806669776119403,0.0035220822002888885,0.006903281112566221,0.1958955223880597,0.006061662514257541,0.01188085852794478,0.11179532200085177,0.0038903644030099946,0.0076251142298995895,0.0861289719556977,0.003514708428231652,0.006888828519334038,0.27052238805970147,0.006784703112051345,0.013298018099620636,0.13066984724113084,0.0038968887066987822,0.007637901865129613,0.09131320131732397,0.0034965213142329533,0.006853181775896588
discussion,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
all,0.04248639598158225,0.002918231910485213,0.005719734544551018,0.04248639598158225,0.002918231910485213,0.005719734544551018,0.04248639598158225,0.002918231910485213,0.005719734544551018,0.12118041021347845,0.004721591965370873,0.009254320252126911,0.08271908025782214,0.0034511277222980304,0.0067642103357041395,0.07006069485140226,0.0031793625960554292,0.0062315506882686415,0.17580577647551276,0.005507490197899316,0.01079468078788266,0.10033033502294944,0.003525668753691186,0.006910310757234724,0.07729615566053406,0.003176800508047899,0.006226528995773882,0.24277940560904143,0.006203538899345122,0.012158936242716438,0.11726921410003541,0.0035439287225906106,0.006946100296277596,0.08194872483229076,0.0031633978693199616,0.006200259823867124
