condition,recall@1_mean,recall@1_se,recall@1_ci,ndcg@1_mean,ndcg@1_se,ndcg@1_ci,mrr@1_mean,mrr@1_se,mrr@1_ci,recall@5_mean,recall@5_se,recall@5_ci,ndcg@5_mean,ndcg@5_se,ndcg@5_ci,mrr@5_mean,mrr@5_se,mrr@5_ci,recall@10_mean,recall@10_se,recall@10_ci,ndcg@10_mean,ndcg@10_se,ndcg@10_ci,mrr@10_mean,mrr@10_se,mrr@10_ci,recall@20_mean,recall@20_se,recall@20_ci,ndcg@20_mean,ndcg@20_se,ndcg@20_ci,mrr@20_mean,mrr@20_se,mrr@20_ci
recommendation,0.061611374407582936,0.016592513078005074,0.032521325632889946,0.061611374407582936,0.016592513078005074,0.032521325632889946,0.061611374407582936,0.016592513078005074,0.032521325632889946,0.12322274881516587,0.022681952442793474,0.04445662678787521,0.0951545412116063,0.018420111454191986,0.03610341845021629,0.08570300157977882,0.01750787197563144,0.03431542907223763,0.17535545023696683,0.026241181403896023,0.051432715551636206,0.11174534651007335,0.01866017626749439,0.036573945484289,0.09238697058602272,0.017465403718000476,0.03423219128728093,0.23696682464454977,0.02934308944866779,0.05751245531938887,0.12713896645410014,0.018683438641443697,0.036619539737229645,0.09651124234965004,0.017397899962107957,0.03409988392573159
discussion,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
all,0.05138339920948617,0.01390773815314223,0.02725916678015877,0.05138339920948617,0.01390773815314223,0.02725916678015877,0.05138339920948617,0.01390773815314223,0.02725916678015877,0.10276679841897234,0.019128407317772943,0.03749167834283497,0.0793581351606677,0.015517284356659533,0.030413877339052684,0.0714756258234519,0.014733248761582808,0.028877167572702304,0.14624505928853754,0.02225906645333374,0.04362777024853413,0.09319473562697815,0.015775253217502956,0.030919496306305794,0.07705000313695966,0.01472040613056884,0.028851996015914927,0.1976284584980237,0.025084891653043177,0.04916638763996462,0.10603289297160132,0.0158582050736118,0.031082081944279128,0.08048961318488602,0.014679331647572062,0.02877149002924124
