condition,recall@1_mean,recall@1_se,recall@1_ci,ndcg@1_mean,ndcg@1_se,ndcg@1_ci,mrr@1_mean,mrr@1_se,mrr@1_ci,recall@5_mean,recall@5_se,recall@5_ci,ndcg@5_mean,ndcg@5_se,ndcg@5_ci,mrr@5_mean,mrr@5_se,mrr@5_ci,recall@10_mean,recall@10_se,recall@10_ci,ndcg@10_mean,ndcg@10_se,ndcg@10_ci,mrr@10_mean,mrr@10_se,mrr@10_ci,recall@20_mean,recall@20_se,recall@20_ci,ndcg@20_mean,ndcg@20_se,ndcg@20_ci,mrr@20_mean,mrr@20_se,mrr@20_ci
recommendation,0.061611374407582936,0.016592513078005074,0.032521325632889946,0.061611374407582936,0.016592513078005074,0.032521325632889946,0.061611374407582936,0.016592513078005074,0.032521325632889946,0.13270142180094788,0.023410595327447332,0.04588476684179677,0.09522768616622942,0.018150444409483688,0.03557487104258803,0.08325434439178515,0.017236732952966898,0.03378399658781512,0.1895734597156398,0.02704804922875854,0.05301417648836674,0.11319547737394682,0.01840731327590384,0.03607833402077153,0.0904348153163319,0.017195131714975644,0.03370245816135226,0.1990521327014218,0.02755344427250926,0.05400475077411815,0.11561277889525227,0.018415792447434434,0.03609495319697149,0.09110854452365463,0.01718502068792072,0.03368264054832461
discussion,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
all,0.05138339920948617,0.013907738153142233,0.027259166780158776,0.05138339920948617,0.013907738153142233,0.027259166780158776,0.05138339920948617,0.013907738153142233,0.027259166780158776,0.11067193675889328,0.019762845849802372,0.03873517786561265,0.0794191374746024,0.015295091605806919,0.02997837954738156,0.069433465085639,0.014501519012377284,0.028422977264259477,0.15810276679841898,0.022982591922250575,0.04504588016761112,0.09440413330396355,0.015573170993696199,0.03052341514764455,0.07542192107409498,0.014490815607168733,0.028401998590050714,0.16600790513833993,0.023439323945529902,0.04594107493323861,0.09642014366362937,0.015589885361721971,0.030556175308975062,0.07598380590707957,0.01448479693403388,0.028390201990706403
